dialogue,duration,word_count,has_qmark,has_exclaim,has_ellipsis
"- It says, ""Stay,"" Dad. - Murph.",2.877,7,0,0,0
You don't believe me.,1.459,4,0,0,0
"Look at the books! Look at this. It says, ""Stay.""",2.793,10,0,1,0
"Why...? You're not listening! It says, ""Stay!""",2.96,7,1,1,1
"No, I'm coming back.",1.834,4,0,0,0
When?,1.334,1,1,0,0
"One for you, one for me.",2.46,6,0,0,0
"When I'm up there in hypersleep, or...",3.169,7,0,0,1
"traveling near the speed of light, or...",2.544,7,0,0,1
near a black hole...,2.126,4,0,0,1
time's gonna change for me. It's gonna run more slowly.,4.545,10,0,0,0
When we get back...,1.792,4,0,0,1
we're gonna compare.,1.417,3,0,0,0
- Time will run differently for us? - Yeah.,2.627,9,1,0,0
"By the time I get back, we might even be the same age, you and me.",4.671,16,0,0,0
"""What?"" Imagine that!",2.335,3,1,1,0
"Aw, Murph...",1.167,2,0,0,1
You have no idea when you're coming back.,2.627,8,0,0,0
No idea at all!,1.5,4,0,1,0
"Murph, don't... Don't make me leave like this.",2.126,8,0,0,1
"Come on, Murph!",1.501,3,0,1,0
"Don't make me leave like this, Murph!",2.335,7,0,1,0
Hey...,1.041,1,0,0,1
I love you.,1.333,3,0,0,0
Forever. You hear me?,1.917,4,1,0,0
"I love you forever, and I'm coming back.",3.211,8,0,0,0
I'm coming back.,1.334,3,0,0,0
- How'd it go? - Fine.,2.168,6,1,0,0
Just fine.,1.459,2,0,0,0
"I love you, Tom.",1.126,4,0,0,0
"- Travel safe, huh? - Yeah.",2.126,6,1,0,0
"You look after our place for me, all right?",2.251,9,1,0,0
- All right? - Uh-huh.,1.625,5,1,0,0
"Hey, can I use your truck while you're gone?",2.255,9,1,0,0
You mean your truck?,1.11,4,1,0,0
I'll make sure they bring it back.,1.625,7,0,0,0
"Look after my kids, Donald!",1.792,5,0,1,0
Go for main engine start. T-minus 10...,3.627,7,0,0,1
- Dad! - Nine... Dad!,3.502,5,0,1,1
Eight...,1.042,1,0,0,1
seven... Dad!,2.502,2,0,1,1
Six...,1.042,1,0,0,1
"five, main engine start, four...",2.918,5,0,0,1
three...,1.167,1,0,0,1
two...,1.125,1,0,0,1
one. Booster ignition and...,2.084,4,0,0,1
All engines look good. Beginning roll program.,2.46,7,0,0,0
Prepare for stage one separation.,2.835,5,0,0,0
Stage one.,1.042,2,0,0,0
There is Mach 1.,1.835,4,0,0,0
Everybody good? Plenty of slaves for my robot colony?,3.711,9,1,0,0
They gave him a humor setting so he'd fit in better with his unit.,3.294,14,0,0,0
He thinks it relaxes us.,1.668,5,0,0,0
A giant sarcastic robot.,2.793,4,0,0,0
What a great idea!,1.417,4,0,1,0
I have a cue light I can use when I'm joking if you like.,2.71,14,0,0,0
That'd probably help.,1.041,3,0,0,0
You can use it to find your way back to the ship after I blow you out the airlock.,3.92,19,0,0,0
"- What's your humor setting, TARS? - That's 100 percent.",3.002,10,1,0,0
"Let's bring it on down to 75, please.",1.793,8,0,0,0
Stage two separation.,1.834,3,0,0,0
All feeds going manual.,2.168,4,0,0,0
Going manual.,1.417,2,0,0,0
"Deactivate probe heater one, two and three.",2.167,7,0,0,0
Check.,1.042,1,0,0,0
- Taking control. - This is handover to you.,2.918,9,0,0,0
- A.D.F. check. - Over.,2.293,5,0,0,0
"Pull thrusters back. Fuel cells one, two, three.",3.67,8,0,0,0
One hundred percent.,1.334,3,0,0,0
Ex-mites.,1.834,1,0,0,0
It's hard leaving everything.,1.835,4,0,0,0
My kids. Your father.,2.501,4,0,0,0
We're going to be spending a lot of time together.,2.376,10,0,0,0
- We should learn to talk. - And when not to.,3.044,11,0,0,0
Just being honest.,1.542,3,0,0,0
I don't think you need to be that honest.,2.335,9,0,0,0
"Hey, TARS, what's your honesty parameter?",2.418,6,1,0,0
- Ninety percent. - Ninety percent?,2.626,6,1,0,0
"Absolute honesty isn't always the most diplomatic, nor the...",3.044,9,0,0,1
safest form of communication with emotional beings.,2.585,7,0,0,0
Okay.,1.459,1,0,0,0
"Ninety percent it is, Dr. Brand.",2.627,6,0,0,0
We are coming up on the Endurance. Twelve minutes out.,3.21,10,0,0,0
Okay. Taking control.,2.001,3,0,0,0
"Approaching module port, 500 meters.",2.877,5,0,0,0
"It's all you, Doyle.",1.125,4,0,0,0
"Nice and easy, Doyle. Nice and easy.",2.459,7,0,0,0
I feel good.,1.25,3,0,0,0
Take us home.,1.167,3,0,0,0
- Lock. - Target locked.,2.334,5,0,0,0
"- Well done. - Okay, helmets on.",1.834,7,0,0,0
Good job.,1.042,2,0,0,0
Door's not charging.,1.751,3,0,0,0
Never mind.,1.501,2,0,0,0
"Cooper, you should have control.",1.709,5,0,0,0
Control here.,1.501,2,0,0,0
Communication with ring module active.,2.627,5,0,0,0
"Oh, wow.",1.543,2,0,0,0
That's initiate.,1.167,2,0,0,0
- Are we ready to spin? - Just a sec.,2.502,10,1,0,0
"- Hello, CASE. - Hello, TARS.",2.334,6,0,0,0
"All right, we're all set.",1.917,5,0,0,0
"All right, let's do it.",1.501,5,0,0,0
Heh.,1.501,1,0,0,0
Thirty percent of spin.,1.292,4,0,0,0
One G.,1.334,2,0,0,0
How's gravity treating you back there?,2.001,6,1,0,0
Well.,1.167,1,0,0,0
"Romilly? Hey, you okay?",1.792,4,1,0,0
- Yeah. - You all right?,1.042,6,1,0,0
"Mm. Yeah, I just need a minute.",2.084,7,0,0,0
"We have some Dramamine in the hab pod, or maybe in the cryo-beds. I'll just be a sec.",4.671,18,0,0,0
"- Hey, Brand? - Yeah?",2.168,5,1,0,0
- Bring a lot. - Heh-heh-heh.,1.834,6,0,0,0
"Amelia, be safe.",2.877,3,0,0,0
"- Give my regards to Dr. Mann. - I will, Dad.",3.503,11,0,0,0
It looks good for your trajectory.,1.917,6,0,0,0
We've calculated two years to Saturn.,3.336,6,0,0,0
That's a lot of Dramamine.,1.5,5,0,0,0
"Look after my family, will you, please, sir?",2.46,8,1,0,0
We'll be waiting for you when you get back.,2.794,9,0,0,0
"A little older, a little wiser, but happy to see you.",3.836,11,0,0,0
Do not go gentle into that good night,3.336,8,0,0,0
Old age should burn and rave at close of day,4.045,10,0,0,0
"Rage, rage against the dying of the light",4.962,8,0,0,0
Though wise men at their end Know dark is right,3.795,10,0,0,0
Because their words had forked No lightning they,2.877,8,0,0,0
Do not go gentle into that good night,3.544,8,0,0,0
"Rage, rage against the dying of the light",4.336,8,0,0,0
- You good? - Yeah.,1.668,5,1,0,0
"Okay, thank you.",1.501,3,0,0,0
Here. Pills.,1.334,2,0,0,0
So alone.,1.417,2,0,0,0
We have each other. Dr. Mann had it worse.,1.96,9,0,0,0
"No, I mean them.",1.376,4,0,0,0
Hm?,1.125,1,1,0,0
"it's a perfect planet, and we won't find another one like her.",3.294,12,0,0,0
"No, it's not like looking for a new condo.",3.253,9,0,0,0
The human race is going to be...,2.168,7,0,0,1
adrift...,1.042,1,0,0,1
desperate for a rock it can cling to while it catches its breath.,3.502,13,0,0,0
We need to find that rock.,1.834,6,0,0,0
And our three prospects are at the edge of what...,2.71,10,0,0,1
might sustain human life.,1.876,4,0,0,0
Laura Miller's planet is first.,2.46,5,0,0,0
- Laura started our biology program. Mm-hm.,2.126,7,0,0,0
"- Uh, Wolf Edmunds is here. - Tell me about Edmunds.",3.169,11,0,0,0
"Oh, uh, Wolf's a particle physicist.",2.752,6,0,0,0
"None of them had families, huh?",2.334,6,1,0,0
No. No attachments. My father insisted.,2.877,6,0,0,0
They all knew the odds against ever seeing another human being again.,3.544,12,0,0,0
I'm hoping we can surprise at least three of them.,1.96,10,0,0,0
- How about Mann? - Dr. Mann?,1.917,7,1,0,0
He's remarkable. He's the best of us.,1.918,7,0,0,0
He inspired 11 people to follow him on the loneliest journey in human history.,4.378,14,0,0,0
"Scientists, explorers.",1.584,2,0,0,0
"That's what I love. You know, out there we face great odds.",4.086,12,0,0,0
"Death, but...",1.417,2,0,0,1
not evil.,1.334,2,0,0,0
You don't think nature can be evil?,1.751,7,1,0,0
No. Formidable. Frightening. But...,2.669,4,0,0,1
"- no, not evil. - Hm.",2.001,6,0,0,0
Is a lion evil because it rips a gazelle to shreds?,3.211,11,1,0,0
"Just what we take with us, then.",2.001,7,0,0,0
Yeah.,1.042,1,0,0,0
This crew represents the best of humanity.,2.085,7,0,0,0
"Even me, huh?",1.166,3,1,0,0
"You know what? We agreed, 90 percent.",2.001,7,1,0,0
There you go.,1.083,3,0,0,0
- Don't stay up. - I'll be there in a minute.,2.376,11,0,0,0
"Just remember, Coop, you are literally wasting your breath.",4.044,9,0,0,0
"Hey, TARS? Let's go over that trajectory one more time.",3.169,10,1,0,0
Eight months to Mars.,1.668,4,0,0,0
Counter-orbital slingshot around. Fourteen months to Saturn.,2.835,7,0,0,0
Nothing's changed on that.,1.417,4,0,0,0
Just let me ask you something.,2.084,6,0,0,0
Dr. Brand and Edmunds...,1.204,4,0,0,1
Why are you whispering? They can't hear you.,2.244,8,1,0,0
Dr. Brand and Edmunds. They close?,3.002,6,1,0,0
I wouldn't know.,1.417,3,0,0,0
"Is that 90 percent ""wouldn't know"" or 10 percent ""wouldn't know""?",3.002,11,1,0,0
"- I also have a discretion setting, Cooper. - Aah.",3.127,10,0,0,0
"But not a poker face, Slick.",2.168,6,0,0,0
"Hey, guys.",1.251,2,0,0,0
"Uh, Dad's about to go down for the long nap.",3.085,10,0,0,0
So I wanted to give you an update.,2.626,8,0,0,0
Uh...,1.125,1,0,0,1
The Earth looks amazing from here. Um...,3.712,7,0,0,1
You can't see any of the dust. Heh.,2.835,8,0,0,0
"Um, I really hope you guys are doing great.",4.128,9,0,0,0
I know you'll get this message. Professor Brand's assured me he'll get it to you.,4.253,15,0,0,0
Know that I love you.,2.043,5,0,0,0
"- Is it him? - I don't think so, Murph.",2.334,10,1,0,0
You must be Donald.,1.668,4,0,0,0
"Hello, Murph.",1.167,2,0,0,0
Why are you in my dad's truck?,2.001,7,1,0,0
He wanted me to bring it for your brother.,2.168,9,0,0,0
He sent you a message.,2.168,5,0,0,0
She's pretty upset with him for leaving.,2.001,7,0,0,0
"If you record any messages, I can get them to transmit it to Cooper.",4.086,14,0,0,0
Murph is a bright spark.,2.668,5,0,0,0
Maybe I should fan the flame.,2.543,6,0,0,0
She's already making fools of her teachers.,2.585,7,0,0,0
So maybe she should come and make a fool out of you.,2.835,12,0,0,0
- So where are they? - Heading for Mars.,2.835,9,1,0,0
"The next time you hear from Cooper, they'll be coming up on Saturn.",4.003,13,0,0,0
As far as school goes...,1.72,5,0,0,1
the administration wants me to repeat Plant Pathology. Which sucks.,3.169,10,0,0,0
But they said I could start Advanced Agriculture a year early.,3.21,11,0,0,0
"All right, I got to go, Dad. Hope you're safe up there.",3.877,12,0,0,0
"Um, sorry, Coop.",1.584,3,0,0,0
"I asked Murph to say hi, but she's as stubborn as her old man.",4.837,14,0,0,0
I'll try again next time.,1.834,5,0,0,0
"You all right, Rom?",1.584,4,1,0,0
"This gets to me, Cooper.",1.834,5,0,0,0
This. This.,1.667,2,0,0,0
"Millimeters of aluminum, that's it, and then nothing...",2.877,8,0,0,1
out there for millions of miles won't kill us in seconds.,3.962,11,0,0,0
You know that some of the finest...,1.918,7,0,0,1
solo yachtsmen in the world don't know how to swim?,3.836,10,1,0,0
"They don't know how. And if they go overboard, psst, they're done.",3.169,12,0,0,0
"We're explorers, Rom.",1.96,3,0,0,0
This is our boat.,1.709,4,0,0,0
Here.,1.125,1,0,0,0
"This is from the, uh, relay probe?",1.751,7,1,0,0
It was in orbit around the wormhole.,2.043,7,0,0,0
"This is the wormhole, and every time we'd come around...",3.044,10,0,0,1
we would receive images from the other side of the foreign galaxy.,3.21,12,0,0,0
"Oh, yeah. Like swinging a periscope around.",2.126,7,0,0,0
Exactly.,1.083,1,0,0,0
"So we got a pretty good idea what we're gonna find on the other side, huh?",4.504,16,1,0,0
Navigationally.,1.334,1,0,0,0
Guys? We'll be approaching the wormhole in about three hours.,3.753,10,1,0,0
"Hey, Coop?",1.041,2,1,0,0
Can we stop the spinning?,1.751,5,1,0,0
Why?,1.083,1,1,0,0
Because we're close enough to see it now?,2.335,8,1,0,0
All right.,1.125,2,0,0,0
Thanks.,1.083,1,0,0,0
"There, that's it! That's the wormhole!",1.959,6,0,1,0
"Say it, don't spray it, Rom.",1.793,6,0,0,0
It's a sphere.,1.292,3,0,0,0
"Of course it is. What, you...? You thought it would just be a hole?",3.961,14,1,0,1
"No, it's just that all the illustrations I've ever seen, they...",3.085,11,0,0,1
"In the illustrations, they're trying to show you how it works.",3.086,11,0,0,0
So they say you want to go from here to there.,3.836,11,0,0,0
"- But it's too far, right? - Mm-hm.",2.544,8,1,0,0
"So a wormhole bends space like this, so you can take a shortcut through...",4.795,14,0,0,1
a higher dimension.,1.584,3,0,0,0
"Okay, so...",1.459,2,0,0,1
"to show that, they've turned three-dimensional",2.412,6,0,0,0
space into two dimensions...,1.495,4,0,0,1
"which turns a wormhole into two dimensions, a circle.",3.962,9,0,0,0
What's a circle in three dimensions?,2.252,6,1,0,0
- A sphere. - Exactly.,1.501,5,0,0,0
A spherical hole.,1.5,3,0,0,0
But who put it there? Who do we have to thank?,2.836,11,1,0,0
"I'm not thanking anybody until we get out of here in one piece, Rom.",4.67,14,0,0,0
"Any trick to this, Doyle?",1.417,5,1,0,0
No one knows.,1.668,3,0,0,0
"The others made it, right?",1.667,5,1,0,0
At least some of them.,1.667,5,0,0,0
Everybody ready to say goodbye to our solar system?,3.169,9,1,0,0
To our galaxy.,2.001,3,0,0,0
Here we go.,1.042,3,0,0,0
The controls won't work here. We're passing through the bulk.,3.502,10,0,0,0
It's space beyond our three dimensions. All you can do is record and observe.,4.42,14,0,0,0
What is that?,1.042,3,1,0,0
I think it's them.,1.834,4,0,0,0
Distorting space-time.,1.834,2,0,0,0
Don't! Don't!,1.084,2,0,1,0
What was that?,1.25,3,1,0,0
The first handshake.,1.501,3,0,0,0
We're...,1.042,1,0,0,1
We're here.,1.334,2,0,0,0
So the lost communications came through.,2.251,6,0,0,0
- How? - The relay on this side cached them.,2.877,10,1,0,0
So years of basic data. No real surprises.,3.545,8,0,0,0
"Miller's site has kept pinging thumbs up, as has Dr. Mann's. Um...",3.836,12,0,0,1
Edmunds' went down three years ago.,2.126,6,0,0,0
Transmitter failure?,1.209,2,1,0,0
Maybe. He was sending the thumbs up right until it went dark.,3.002,12,0,0,0
"But Miller's still looks good though, right?",1.76,7,1,0,0
- Because she's coming up fast. Mm-hm.,2.293,7,0,0,0
With one complication.,2.001,3,0,0,0
The planet is much closer to Gargantua than we thought.,3.002,10,0,0,0
- Gargantua? - It's what we're calling the black hole.,2.668,10,1,0,0
Miller's and Dr. Mann's planets both orbit it.,2.293,8,0,0,0
- And Miller's is on the horizon? - As a basketball around a hoop.,3.21,14,1,0,0
Landing there takes us dangerously close.,2.001,6,0,0,0
And a black hole that big has a huge gravitational pull.,3.252,11,0,0,0
"Look, I could swing around that neutron star to decelerate.",3.002,10,0,0,0
"No, it's not that. It's time.",1.876,6,0,0,0
The gravity on that planet will slow our clock compared to Earth's drastically.,4.504,13,0,0,0
How bad?,1.166,2,1,0,0
Every hour we spend on that planet will be...,3.544,9,0,0,1
seven years back on Earth.,2.168,5,0,0,0
Jesus.,1.042,1,0,0,0
"Well, that's relativity, folks.",1.668,4,0,0,0
"Well, we can't just drop down there without...",2.46,8,0,0,1
"Cooper, we have a mission.",1.876,5,0,0,0
"Yeah, Doyle, we have a mission, and our mission Plan A is...",2.585,12,0,0,1
to find a planet that can habitate the people that are living on Earth now.,3.169,15,0,0,0
You can't just think about your family. Now you have to think bigger.,2.835,13,0,0,0
"I am thinking about my family and millions of other families, okay?",3.21,12,1,0,0
Plan A does not work if the people on Earth are dead by the time we pull it off.,4.253,19,0,0,0
No. It doesn't.,1.668,3,0,0,0
That's why there's a Plan B.,1.668,6,0,0,0
Okay. Cooper's right.,1.501,3,0,0,0
"We need to think of time as a resource, like",1.973,10,0,0,0
oxygen and food. Going down will cost us.,1.852,8,0,0,0
"All right, look.",1.167,3,0,0,0
"Dr. Mann's data is promising, but it will take months to get there.",3.461,13,0,0,0
"And Edmunds', it's even further.",2.21,5,0,0,0
"Miller hasn't sent much, but what she has is",2.073,9,0,0,0
"very promising. it's water, it's organics...",2.085,6,0,0,1
"- You don't find that every day. - No, you don't.",2.168,11,0,0,0
"And just think about the resources, including time...",2.335,8,0,0,1
that would be spent trying to get back here.,2.501,9,0,0,0
- Romilly... - Yeah?,1.793,4,1,0,1
How far off from Miller's planet do we have to be to stay out of the time shift?,3.836,18,1,0,0
Just back from the cusp.,1.667,5,0,0,0
"All right, which is here, just outside of Miller's planet.",2.96,10,0,0,0
- Right. - Okay.,1.792,4,0,0,0
Here's Gargantua. Here's Miller's planet.,2.793,5,0,0,0
Instead of taking the Endurance into orbit around Miller's planet...,3.169,10,0,0,1
"which would conserve fuel, but we would lose a lot of time...",2.877,12,0,0,1
"what if we take a wider orbit around Gargantua, parallel with Miller's planet...",4.086,13,0,0,1
"outside of this time shift, to here?",2.501,7,1,0,0
"Then we take the Ranger down, we get Miller, we get her samples.",2.794,13,0,0,0
"We come back, we analyze, we debrief. We're in, we're out.",2.71,11,0,0,0
"We lose a little fuel, but we save a whole lot of time.",2.335,13,0,0,0
- That'll work. - That's good.,1.834,6,0,0,0
There's no time for monkey business or chit-chat down there.,2.46,10,0,0,0
"So, TARS, you should definitely stay here.",2.794,7,0,0,0
"CASE, you're with me. Anyone else can stay.",2.251,8,0,0,0
"If we're talking about a couple years, I could use the time to research gravity.",3.586,15,0,0,0
"Observations from the wormhole, that's gold to Professor Brand.",2.96,9,0,0,0
"TARS, factor an orbit of Gargantua.",1.68,6,0,0,0
"Conserve fuel, minimize thrusting, but make sure we stay in range of Miller's planet.",4.754,14,0,0,0
- You got it? - I wouldn't leave you behind...,2.544,10,1,0,1
Dr. Brand.,1.042,2,0,0,0
"- You ready, CASE? - Yup.",1.626,6,1,0,0
"- You don't say much, do you? - TARS talks plenty for both of us.",3.503,15,1,0,0
Detach.,1.042,1,0,0,0
"- Romilly, are you reading these forces? it's unbelievable.",2.96,9,1,0,0
A literal heart of darkness.,2.126,5,0,0,0
If we could just see the collapsed star inside...,2.71,9,0,0,1
"the singularity, yeah, we'd solve gravity.",2.752,6,0,0,0
- And we can't get anything from it? - Nothing escapes that horizon.,3.294,13,1,0,0
Not even light.,1.334,3,0,0,0
"The answer's there, just no way to see it.",2.177,9,0,0,0
There's Miller's planet.,1.313,3,0,0,0
"Goodbye, Ranger.",1.333,2,0,0,0
This is fast for atmospheric entry.,2.293,6,0,0,0
- Should we use the thrusters to slow? - No.,2.251,10,1,0,0
I'm gonna use the Ranger's aerodynamics to save some fuel.,3.335,10,0,0,0
Air brake?,1.209,2,1,0,0
"- We want to get down fast, don't we? - We want to get there in one piece.",3.544,18,1,0,0
"- Hang on. - Brand, Doyle, get ready.",3.002,8,0,0,0
- We should ease! - Hands where I can see them.,2.501,11,0,1,0
The only time I went down was when a machine was easing at the wrong time.,3.336,16,0,0,0
A little caution...,0.877,3,0,0,1
"Can get you killed, like reckless driving.",1.946,7,0,0,0
"- Cooper, it's too damn fast! - I got this.",2.167,10,0,1,0
- Should I disable the feedback? - No. I need to feel the air.,4.003,14,1,0,0
Here we go.,1.166,3,0,0,0
It's just water!,1.292,3,0,1,0
The stuff of life.,1.5,4,0,0,0
Twelve hundred meters.,1.417,3,0,0,0
- Do we have a fix on the beacon? - Got it!,2.043,12,1,1,0
- Can you maneuver? - I'll need to shave some speed.,2.626,11,1,0,0
I'm gonna spiral down on top of it. Everybody hang on!,2.627,11,0,1,0
Seven hundred.,1.041,2,0,0,0
"On my cue, CASE. On my cue.",2.001,7,0,0,0
Five hundred meters.,1.501,3,0,0,0
Fire!,1.042,1,0,1,0
Very graceful.,1.084,2,0,0,0
No.,1.083,1,0,0,0
But very efficient.,2.084,3,0,0,0
What are you waiting for? Let's go!,2.209,7,1,1,0
"Go, go, go!",1.918,3,0,1,0
Seven years per hour here. Let's make it count!,3.252,9,0,1,0
This way.,1.25,2,0,0,0
About 200 meters.,1.751,3,0,0,0
The gravity's punishing.,1.626,3,0,0,0
Been floating through space too long?,2.126,6,1,0,0
One hundred and thirty percent Earth gravity.,2.043,7,0,0,0
Come on. Come on.,2.001,4,0,0,0
- There's nothing here. - Should be right here.,2.835,9,0,0,0
"If the signal's coming from here, then...",3.002,7,0,0,1
Her beacon.,1.167,2,0,0,0
Wreckage.,1.042,1,0,0,0
Where's the rest?,1.167,3,1,0,0
Towards the mountains!,1.5,3,0,1,0
Those aren't mountains.,1.835,3,0,0,0
They're waves.,1.334,2,0,0,0
"Oh, shit. Oh, shit. Oh, shit.",2.669,6,0,0,0
That one's moving away from us.,2.001,6,0,0,0
We need the recorder.,1.667,4,0,0,0
"Brand, Doyle, back to the Ranger now!",2.251,7,0,1,0
We're not leaving without her data.,3.377,6,0,0,0
Get back here now!,1.334,4,0,1,0
We do not have time!,1.709,5,0,1,0
The second wave is coming! We're in the middle of a swell.,2.46,12,0,1,0
"No, I got it.",1.417,4,0,0,0
Get your ass back to the Ranger now!,2.001,8,0,1,0
"Brand, get back here now!",2.043,5,0,1,0
"No, Cooper, go. Cooper, go. I can't make it.",2.21,9,0,0,0
"- Go! - CASE, go get her.",2.376,7,0,1,0
"- Go! - Get up. Get up, Brand!",2.001,8,0,1,0
"Go, go! Go!",1.501,3,0,1,0
"- I'm not gonna make it! - Yes, you are. Yes, you are!",2.835,13,0,1,0
"Come on, CASE has her! Get back here, Doyle!",2.293,9,0,1,0
Come on!,1.083,2,0,1,0
Get to the hatch!,1.417,4,0,1,0
"Go, go! Go!",1.501,3,0,1,0
Shit.,1.083,1,0,0,0
Manually overriding inside hatch!,1.834,4,0,1,0
Cooper! Wait!,1.166,2,0,1,0
The engines are flooded! I'm gonna have to shut her down.,3.669,11,0,1,0
Holy shit.,1.333,2,0,0,0
Hang on!,1.334,2,0,1,0
"CASE, what's the problem?",1.251,4,1,0,0
Too waterlogged. Let it drain.,2.418,5,0,0,0
Goddamn it!,1.208,2,0,1,0
- I told you to leave me! Why didn't you? - And I told you to get your ass back here!,4.67,21,1,1,0
- One of us was thinking about the mission! - You were thinking about getting home.,4.671,16,0,1,0
I was trying to do the right thing!,2.334,8,0,1,0
Can you tell that to Doyle?,1.96,6,1,0,0
"- CASE, how much time? - Forty-five to an hour.",2.167,10,1,0,0
"The stuff of life, huh?",1.334,5,1,0,0
"What's this gonna cost us, Brand?",2.168,6,1,0,0
A lot. Decades.,1.959,3,0,0,0
What happened to Miller?,1.333,4,1,0,0
"Judging by the wreckage, she was...",2.752,6,0,0,1
broken up by a wave soon after impact.,2.626,8,0,0,0
"How's the wreckage stayed together after all these years, huh?",2.835,10,1,0,0
Because of the time slippage.,2.001,5,0,0,0
"On this planet's time, she just landed hours ago.",4.503,9,0,0,0
She probably just died minutes ago.,2.376,6,0,0,0
The data Doyle received was just the initial status echoing endlessly.,4.045,11,0,0,0
"Oh, we are not prepared for this.",2.168,7,0,0,0
You eggheads have the survival skills of a Boy Scout troop.,3.461,11,0,0,0
"Well, we got this far on our brains. Farther than any human in history.",3.252,14,0,0,0
"Well, not far enough!",1.584,4,0,1,0
And now we're stuck here till there won't be anyone left on Earth to save.,3.503,15,0,0,0
"I'm counting every minute, same as you, Cooper.",2.668,8,0,0,0
Is there any possibility...,1.835,4,0,0,1
some kind of a way we can maybe all jump in a black hole?,3.628,14,1,0,0
Gain back the years?,1.667,4,1,0,0
Don't shake your head at me.,1.5,6,0,0,0
"Time is relative, okay?",2.001,4,1,0,0
"It can stretch and it can squeeze, but...",3.043,8,0,0,1
it can't run backwards. it just can't.,2.21,7,0,0,0
"The only thing that can move across dimensions, like time, is gravity.",4.42,12,0,0,0
Okay.,1.167,1,0,0,0
"The beings that led us here, they communicate...",3.877,8,0,0,1
"- through gravity, right? - Yes.",1.834,6,1,0,0
Could they be talking to us from the future?,2.168,9,1,0,0
- Maybe. - Okay. If they can...,2.251,7,0,0,1
"""They"" are beings of five dimensions.",3.252,6,0,0,0
"To them, time might be another physical dimension.",3.336,8,0,0,0
To them...,1.334,2,0,0,1
the past might be a canyon that they can climb into and the future...,4.17,14,0,0,1
"a mountain they can climb up. But to us, it's not, okay?",3.002,12,1,0,0
"Look, Cooper, I screwed up. I'm sorry.",2.418,7,0,0,0
But you knew about relativity.,1.751,5,0,0,0
Oh.,1.333,1,0,0,0
Brand...,1.167,1,0,0,1
My daughter was 10 years old.,1.918,6,0,0,0
I couldn't teach her Einstein's theories before I left.,2.794,9,0,0,0
Couldn't you have told her you were going to save the world?,2.835,12,1,0,0
No.,1.041,1,0,0,0
"When you become a parent, one thing becomes really clear.",4.17,10,0,0,0
And that is that you want to make sure your children feel safe.,3.169,13,0,0,0
And it rules out telling a 10-year-old that the world is ending.,3.752,12,0,0,0
Cooper?,1.376,1,1,0,0
"- How long for the engines, CASE? - A minute or two.",2.501,12,1,0,0
We don't have it. Helmets on!,2.084,6,0,1,0
"Brand, co-pilot, you're up.",1.792,4,0,0,0
"CASE, blow the cabin oxygen through the main thrusters!",2.502,9,0,1,0
- We're gonna spark it. - Roger that.,1.709,8,0,0,0
- Locked. - Depressurizing.,1.333,4,0,0,0
Engines up!,1.25,2,0,1,0
"Hello, Rom.",1.5,2,0,0,0
I've waited years.,1.667,3,0,0,0
How...? How many years?,1.834,4,1,0,1
- By now it must be... Twenty-three years...,2.96,8,0,0,1
"four months, eight days.",1.709,4,0,0,0
Doyle?,1.167,1,1,0,0
I thought I was prepared. I knew the theory.,3.002,9,0,0,0
Reality's different.,1.5,2,0,0,0
And Miller?,1.167,2,1,0,0
There's nothing here for us.,2.001,5,0,0,0
Why didn't you sleep?,1.5,4,1,0,0
"Oh, I had a couple of stretches. But I stopped believing you were coming back.",4.087,15,0,0,0
And something seemed wrong about dreaming my life away.,3.002,9,0,0,0
I learned what I could from the black hole...,2.835,9,0,0,1
but I couldn't send anything to your father.,2.46,8,0,0,0
"We've been receiving, but nothing gets out.",2.251,7,0,0,0
"- Is he alive? - Oh, yeah.",2.084,7,1,0,0
- Yeah? - Yeah.,1.793,4,1,0,0
We've got years of messages stored.,3.002,6,0,0,0
Cooper.,1.167,1,0,0,0
Messages span 23 years.,3.002,4,0,0,0
Play it from the beginning.,1.667,5,0,0,0
"Hey, Dad.",1.709,2,0,0,0
Checking in. Saying hi.,2.418,4,0,0,0
Um... Finished second in school.,3.461,5,0,0,1
Miss Kurling's still giving me C's though.,2.418,7,0,0,0
"Pulled me down, but second's not bad.",2.835,7,0,0,0
Grandpa attended the ceremony.,2.167,4,0,0,0
Um... Oh.,2.001,2,0,0,1
"I met another girl, Dad.",1.96,5,0,0,0
"I, uh...",1.584,2,0,0,1
I really think this is the one.,2.001,7,0,0,0
Name's Lois. That's her right there.,2.585,6,0,0,0
Murphy stole Grandpa's car.,2.001,4,0,0,0
"She crashed it. She's okay, though.",2.668,6,0,0,0
"Hey, Dad.",1.083,2,0,0,0
Look at this!,1.333,3,0,1,0
You're a grandpa.,1.5,3,0,0,0
His name's Jesse.,1.667,3,0,0,0
"I kind of wanted to call him Coop, but Lois says, uh, maybe next time.",4.587,15,0,0,0
"Donald says he's already earned the ""great"" part, so we just leave it at that.",4.42,15,0,0,0
"Oh, dear. Oh, dear.",1.792,4,0,0,0
"Say ""Bye-bye, Grandpa.""",1.625,3,0,0,0
"Bye-bye, Grandpa. Okay.",1.834,3,0,0,0
Sorry it's been a while.,2.502,5,0,0,0
Just...,1.042,1,0,0,1
what with Jesse and all.,2.001,5,0,0,0
Uh...,1.5,1,0,0,1
Grandpa died last week.,2.334,4,0,0,0
